Year,Biomass_Fished,Biomass_Unfished,site,country
2004,995.875459691111,569.0140789366666,Karimunjawa National Park,Indonesia
2005,419.511229002,523.4215336636364,Karimunjawa National Park,Indonesia
2006,383.03088095000004,536.2545638727273,Karimunjawa National Park,Indonesia
2007,395.567371014,418.64463068363636,Karimunjawa National Park,Indonesia
2009,378.304792653,375.5834732063637,Karimunjawa National Park,Indonesia
2012,791.9793622266667,663.5059439745454,Karimunjawa National Park,Indonesia
2013,939.7713463963636,758.4004403636363,Karimunjawa National Park,Indonesia
