Country,Species,Common,Code,L_inf,k,t0,M,Wa,Wb,m50,m95
Brazil,Callinectes sapidus,Atlantic blue crab,CALLSA,16.0245,1.461,-0.016,NA,0.12785,2.761,10.33,11.2
Brazil,Mytella guyanensis,Mangrove mussel,MYTEGU,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,Ucides cordatus,Mangrove crab,UCIDCO,8.149999999999999,0.21000000000000002,0,NA,0.479,2.995,4.195,4.2700000000000005
Brazil,Coryphaena hippurus,"Dolphinfish, dorado",CORYHI,194.1,0.897,0.0811,0.95,0.0202,2.799,46.7,60.25
Brazil,Euthynnus alletteratus,Little tunny,EUTHAL,91.5,0.39,-0.4,0.599,0.0072,3.225,42,47.88
Brazil,Hemiramphus brasiliensis,Ballyhoo,HEMIBR,25.159,3.65,0.048,5.12,0.0054,3.134,18.950000000000003,21.6
Brazil,Hyporhamphus unifasciatus,Common halfbeak,HYPOUN,30.4,1.46,0.046,2.2,0.00209,3.32,18.25,20.805
Brazil,Lobotes surinamensis,Tripletail,LOBOSU,58.6,0.68,0,0.29957,0.0107,3.182,45.9,52.33
Brazil,Lutjanus analis,Mutton snapper,LUTJAN,84.5,0.05,-1.8,0.103,0.018,2.956,24.6,28
Brazil,Megalops atlanticus,Atlantic tarpon,MEGAAT,234.75,0.372,0.185,0.23044,0.00805,2.935,110,125.4
Brazil,Panulirus laevicauda,Smoothtail spiny lobster,PANULA,41.2,0.223,0,0.394,1.955e-4,2.7,14,15.959999999999999
Brazil,Centropomus parallelus,Fat snook,CENTPA,67.9,0.187,-2.48,0.406,0.00542,3.176,23,26.22
Brazil,Centropomus ensiferus,Swordspine snook,CENTEN,37.8,0.21,-0.64,0.2203,0.0039,3.298,21.8,24.85
Brazil,Centropomus pectinatus,Tarpon snook,CENTPE,58.1,0.65,-0.21,0.6808,0.0106,2.98,32.1,36.59
Mozambique,Pomadasys kaakan,Javelin grunter,POMAJA,62.14,0.27,-0.47,0.2,0.0136,3.003,39,44.459999999999994
Mozambique,Scarus frenatus,Bridled parrotfish,SCARFR,25.9,0.448,0.276,0.32,0.00279,3.06,18,20.52
Mozambique,Scarus ghobban,Blue-eyed Parrotfish,SCARGH,27.49,0.473,-0.244,0.472,0.0165,3.041,39.22,44.71079999999999
Mozambique,Scarus rubroviolaceus,Ember parrotfish,SCARRU,30.83,0.431,-0.092,0.387,0.0136,3.019,34.98,39.877199999999995
Mozambique,Epiniphelus tauvina,Greasy grouper,EPINTA,136.26,0.059,1.68,0.17,0.0082,3.12,53,60.419999999999995
Mozambique,Lethrinus lentjan,"Pink ear emperor
",LETHLE,37.27,0.165,-0.254,0.238,0.0206,2.982,20.3,23.142
Mozambique,Lutjanus argentimaculatus,Mangrove red snapper,LUTJAR,66.59,0.126,2.327,0.158,0.064,2.761,48.64,55.4496
Mozambique,Lutjanus bohar,Two-spot red snapper,LUTJBO,81.7,0.27,0,0.9105000000000001,0.0162,3.01,42.4,48.33599999999999
Mozambique,Scomberomorus commerson,Narrow-banded Spanish mackerel,SCOMCO,126.4,0.47,-0.877,0.5,0.01353,3.2515,109.6,124.94399999999999
Mozambique,Caranx lugubris,Black jack,CARALU,50.8,0.41,0,0.61,0.0105,3.087,36.5,41.61
Mozambique,Abalistes stellatus,Starry Triggerfish,ABALST,62.2,0.2,-0.69,0.42,0.011,2.712,21.2,24.167999999999996
Mozambique,Euthynnus affinis,Mackerel tuna,EUTHAF,81.92,0.56,-0.0317,0.93,0.0254,2.889,37.7,42.978
Mozambique,Gymnocranius grandoculis,Blue-lined large-eye bream,GYMNRO,56.7,0.23,-0.61,0.46,0.0336,2.87,42.4,48.33599999999999
Mozambique,Lethrinus harak,Thumbprint emperor,LETHHA,28.4,0.509,-0.83,0.79475,0.01195,3.123,2.3,2.6219999999999994
Mozambique,Lethrinus mahsena,Sky emperor,LETHMA,29.26,0.207,-0.343,0.304,0.0188,3.029,20.14,22.9596
