site,year,annual_trip_id,hours,permanent_trip_id,gear,inside_TURF,species,sampled_catch,total_catch
Test_FF_Site,2009,19,8,2009_19,Speargun,Inside,Scarus sp,0.8,NA
Test_FF_Site,2009,20,8,2009_20,Speargun,Inside,Caesio cuning,63.0,78.5
Test_FF_Site,2009,20,8,2009_20,Speargun,Inside,Plectropomus leopardus,4.0,NA
Test_FF_Site,2009,20,8,2009_20,Speargun,Inside,Plectropomus leopardus,0.8,NA
Test_FF_Site,2009,20,8,2009_20,Speargun,Inside,Plectropomus oligacanthus,1.0,NA
Test_FF_Site,2009,20,8,2009_20,Speargun,Inside,Plectropomus oligacanthus,0.4,NA
Test_FF_Site,2009,20,8,2009_20,Speargun,Inside,Plectropomus oligacanthus,0.6,NA
Test_FF_Site,2009,20,8,2009_20,Speargun,Inside,Plectropomus oligacanthus,0.5,NA
Test_FF_Site,2009,20,8,2009_20,Speargun,Inside,Plectropomus areolatus,1.2,NA
Test_FF_Site,2009,20,8,2009_20,Speargun,Inside,Epinephelus fuscoguttatus,2.0,NA
Test_FF_Site,2009,20,8,2009_20,Speargun,Inside,Epinephelus ongus,5.0,NA
Test_FF_Site,2009,21,8,2009_21,Speargun,Inside,Scarus sp,13.0,57.6
Test_FF_Site,2009,21,8,2009_21,Speargun,Inside,Scarus sp,14.0,NA
Test_FF_Site,2009,21,8,2009_21,Speargun,Inside,Scarus sp,2.0,NA
Test_FF_Site,2009,21,8,2009_21,Speargun,Inside,Sphyraena qenie,2.2,NA
Test_FF_Site,2009,21,8,2009_21,Speargun,Inside,Caesio cuning,3.0,NA
Test_FF_Site,2009,21,8,2009_21,Speargun,Inside,Caesio cuning,22.0,NA
Test_FF_Site,2009,21,8,2009_21,Speargun,Inside,Epinephelus ongus,1.4,NA
Test_FF_Site,2009,22,8,2009_22,Handline,Outside,Euthynnus affinis,62.0,62
Test_FF_Site,2009,23,8,2009_23,Handline,Outside,Euthynnus affinis,35.0,35
Test_FF_Site,2009,24,8,2009_24,Handline,Inside,Decapterus russelli,29.0,62
Test_FF_Site,2009,24,8,2009_24,Handline,Inside,Decapterus russelli,30.0,NA
Test_FF_Site,2009,24,8,2009_24,Handline,Inside,Euthynnus affinis,3.0,NA
Test_FF_Site,2009,25,8,2009_25,Handline,Inside,Euthynnus affinis,29.0,42
Test_FF_Site,2009,25,8,2009_25,Handline,Inside,Decapterus russelli,12.5,NA
Test_FF_Site,2009,25,8,2009_25,Handline,Inside,Selaroides leptopelis,0.5,NA
Test_FF_Site,2009,26,8,2009_26,Handline,Inside,Plectropomus maculatus,5.6,8.2
Test_FF_Site,2009,26,8,2009_26,Handline,Inside,Plectropomus maculatus,0.8,NA
Test_FF_Site,2009,26,8,2009_26,Handline,Inside,Plectropomus leopardus,1.8,NA
Test_FF_Site,2009,27,8,2009_27,Handline,Inside,Thunus tonggol,2.0,4
Test_FF_Site,2009,27,8,2009_27,Handline,Inside,Seriola dumerili,2.0,NA
Test_FF_Site,2009,28,8,2009_28,Handline,Inside,Plectropomus areolatus,5.0,8
Test_FF_Site,2009,28,8,2009_28,Handline,Inside,Plectropomus areolatus,1.0,NA
Test_FF_Site,2009,28,8,2009_28,Handline,Inside,Plectropomus leopardus,1.0,NA
Test_FF_Site,2009,28,8,2009_28,Handline,Inside,Plectropomus oligacanthus,1.0,NA
Test_FF_Site,2009,29,8,2009_29,Muroami,Outside,Caesio caerulaurea,248.0,448
Test_FF_Site,2009,29,8,2009_29,Muroami,Outside,Caesio cuning,240.0,NA
Test_FF_Site,2009,30,8,2009_30,Speargun,Inside,Caesio cuning,53.0,88.1
Test_FF_Site,2009,30,8,2009_30,Speargun,Inside,Scarus sp,9.5,NA
Test_FF_Site,2009,30,8,2009_30,Speargun,Inside,Bolbometopon muricatum,4.0,NA
Test_FF_Site,2009,30,8,2009_30,Speargun,Inside,Sepia sp,5.0,NA
Test_FF_Site,2009,30,8,2009_30,Speargun,Inside,Scarus sp,6.0,NA
Test_FF_Site,2009,30,8,2009_30,Speargun,Inside,Plectropomus areolatus,2.1,NA
Test_FF_Site,2009,30,8,2009_30,Speargun,Inside,Plectropomus maculatus,6.2,NA
Test_FF_Site,2009,30,8,2009_30,Speargun,Inside,Plectropomus oligacanthus,0.6,NA
Test_FF_Site,2009,30,8,2009_30,Speargun,Inside,Epinephelus ongus,1.7,NA
Test_FF_Site,2009,31,8,2009_31,Speargun,Inside,Caesio cuning,52.0,99.5
Test_FF_Site,2009,31,8,2009_31,Speargun,Inside,Caesio caerulaurea,29.0,NA
Test_FF_Site,2009,31,8,2009_31,Speargun,Inside,Scarus sp,4.0,NA
Test_FF_Site,2009,31,8,2009_31,Speargun,Inside,Scarus sp,2.0,NA
Test_FF_Site,2009,31,8,2009_31,Speargun,Inside,Scarus sp,2.0,NA
Test_FF_Site,2009,31,8,2009_31,Speargun,Inside,Plectorhinchus chaetodonoides,4.0,NA
Test_FF_Site,2009,31,8,2009_31,Speargun,Inside,Platax teira,1.5,NA
Test_FF_Site,2009,31,8,2009_31,Speargun,Inside,Caesio cuning,5.0,NA
