country,site,year,date,gear,inside_area,species,length_cm
Indonesia,Karimunjawa National Park,2003,5/4/03,Gillnet,Inside,Caesio cuning,26.96
Indonesia,Karimunjawa National Park,2003,5/4/03,Gillnet,Inside,Bolbometopon muricatum,61.964
Indonesia,Karimunjawa National Park,2003,5/5/03,Gillnet,Inside,Caesio cuning,34.585
Indonesia,Karimunjawa National Park,2003,5/5/03,Gillnet,Inside,Caesio cuning,36.98
Indonesia,Karimunjawa National Park,2003,5/5/03,Gillnet,Inside,Caesio cuning,34.847
Indonesia,Karimunjawa National Park,2003,5/5/03,Trap,Inside,Caesio cuning,30.813
Indonesia,Karimunjawa National Park,2003,5/5/03,Trap,Inside,Caesio cuning,30.012
Indonesia,Karimunjawa National Park,2003,5/5/03,Trap,Inside,Caesio cuning,27.474
Indonesia,Karimunjawa National Park,2003,5/6/03,Gillnet,Inside,Bolbometopon muricatum,85.675
Indonesia,Karimunjawa National Park,2003,5/6/03,Gillnet,Inside,Bolbometopon muricatum,80.97
Indonesia,Karimunjawa National Park,2003,5/6/03,Gillnet,Inside,Bolbometopon muricatum,52.265
Indonesia,Karimunjawa National Park,2003,5/6/03,Gillnet,Inside,Bolbometopon muricatum,49.386
Indonesia,Karimunjawa National Park,2003,5/6/03,Gillnet,Inside,Bolbometopon muricatum,56.913
Indonesia,Karimunjawa National Park,2003,5/6/03,Gillnet,Inside,Bolbometopon muricatum,54.739
Indonesia,Karimunjawa National Park,2003,5/7/03,Gillnet,Inside,Caesio cuning,35.357
Indonesia,Karimunjawa National Park,2003,5/7/03,Trap,Inside,Caesio cuning,27.328
Indonesia,Karimunjawa National Park,2003,5/7/03,Trap,Inside,Scarus ghobban,30.539
Indonesia,Karimunjawa National Park,2003,5/7/03,Trap,Inside,Scarus ghobban,37.639
Indonesia,Karimunjawa National Park,2003,5/7/03,Gillnet,Inside,Bolbometopon muricatum,47.222
Indonesia,Karimunjawa National Park,2003,5/7/03,Gillnet,Inside,Plectropomus oligacanthus,32.973
Indonesia,Karimunjawa National Park,2003,5/7/03,Gillnet,Inside,Bolbometopon muricatum,57.553
Indonesia,Karimunjawa National Park,2003,5/8/03,Trap,Inside,Caesio cuning,31.753
Indonesia,Karimunjawa National Park,2003,5/8/03,Trap,Inside,Caesio cuning,33.118
Indonesia,Karimunjawa National Park,2003,5/8/03,Trap,Inside,Caesio cuning,26.298
Indonesia,Karimunjawa National Park,2003,5/11/03,Trap,Inside,Caesio cuning,23.861
Indonesia,Karimunjawa National Park,2003,5/11/03,Trap,Inside,Caesio cuning,24.155
Indonesia,Karimunjawa National Park,2003,5/11/03,Trap,Inside,Caesio cuning,22.879
Indonesia,Karimunjawa National Park,2003,5/11/03,Trap,Inside,Caesio cuning,23.457
Indonesia,Karimunjawa National Park,2003,5/11/03,Trap,Inside,Caesio cuning,21.958
Indonesia,Karimunjawa National Park,2003,5/11/03,Handline,Inside,Caesio cuning,30.665
Indonesia,Karimunjawa National Park,2003,5/11/03,Handline,Inside,Scarus ghobban,19.473
Indonesia,Karimunjawa National Park,2003,5/12/03,Trap,Inside,Caesio cuning,22.896
Indonesia,Karimunjawa National Park,2003,5/12/03,Trap,Inside,Caesio cuning,26.928
Indonesia,Karimunjawa National Park,2003,5/12/03,Trap,Inside,Caesio cuning,25.597
Indonesia,Karimunjawa National Park,2003,5/12/03,Trap,Inside,Caesio cuning,26.083
Indonesia,Karimunjawa National Park,2003,5/12/03,Trap,Inside,Caesio cuning,22.55
Indonesia,Karimunjawa National Park,2003,5/12/03,Trap,Inside,Caesio cuning,23.239
Indonesia,Karimunjawa National Park,2003,5/12/03,Trap,Inside,Caesio cuning,23.798
Indonesia,Karimunjawa National Park,2003,5/12/03,Trap,Inside,Caesio cuning,24.303
Indonesia,Karimunjawa National Park,2003,5/12/03,Trap,Inside,Scarus ghobban,27.872
Indonesia,Karimunjawa National Park,2003,5/12/03,Trap,Inside,Caesio cuning,36.71
Indonesia,Karimunjawa National Park,2003,5/12/03,Trap,Inside,Caesio cuning,35.07
Indonesia,Karimunjawa National Park,2003,5/12/03,Trap,Inside,Scarus ghobban,38.441
Indonesia,Karimunjawa National Park,2003,5/12/03,Trap,Inside,Scarus ghobban,26.02
Indonesia,Karimunjawa National Park,2003,5/12/03,Trap,Inside,Caesio cuning,33.149
Indonesia,Karimunjawa National Park,2003,5/12/03,Trap,Inside,Caesio cuning,36.833
Indonesia,Karimunjawa National Park,2003,5/12/03,Trap,Inside,Caesio cuning,29.757
Indonesia,Karimunjawa National Park,2003,5/12/03,Trap,Inside,Caesio cuning,37.789
Indonesia,Karimunjawa National Park,2003,5/13/03,Trap,Inside,Caesio cuning,28.72
