Country,Species,Common,Code,L_inf,k,t0,M,Wa,Wb,m50,m95
Indonesia,Actinopyga echinites,Sea cucumber (Deep water redfish),ACTIEC,NA,NA,NA,"Conand C (1991) Long-term movements and mortality of some tropical sea- cucumbers monitored by tagging and recapture. In: T Yanagisawa et al. (eds.) Biology of Echinodermata, p. 169-175. Rotterdam: A.A. Balkema.",NA,NA,NA,NA
Indonesia,Actinopyga lecanora,Sea cucumber (Stonefish),ACTILE,NA,NA,NA,"Plaganyi EE, T Skewes, N Murphy, R Pascual, & M Fischer (2015) Crop rotations in the sea: increasing returns and reducing risk of collapse in sea cucumber fisheries. PNAS, 112(21), 6760-6765.",NA,NA,NA,NA
Indonesia,Actinopyga miliaris,Sea cucumber (Blackfish),ACTIMI,NA,NA,NA,"Plaganyi EE, T Skewes, N Murphy, R Pascual, & M Fischer (2015) Crop rotations in the sea: increasing returns and reducing risk of collapse in sea cucumber fisheries. PNAS, 112(21), 6760-6765.",NA,NA,NA,NA
Indonesia,Bohadschia argus,Sea cucumber (Leopard fish),BOHAAR,NA,NA,NA,"Plaganyi EE, T Skewes, N Murphy, R Pascual, & M Fischer (2015) Crop rotations in the sea: increasing returns and reducing risk of collapse in sea cucumber fisheries. PNAS, 112(21), 6760-6765.",NA,NA,NA,NA
Indonesia,Holothuria fuscogilva,Sea cucumber (White teatfish),HOLOGI,NA,NA,NA,"Plaganyi EE, T Skewes, N Murphy, R Pascual, & M Fischer (2015) Crop rotations in the sea: increasing returns and reducing risk of collapse in sea cucumber fisheries. PNAS, 112(21), 6760-6765.",NA,NA,"Reichenbach N (1999) Ecology and fishery biology of Holothuria fuscogilva (Echinodermata: Holothuroidea) in the Maldives, Indian Ocean. Bulletin of Marine Science, 64(1), 103-113. 
Plaganyi EE, T Skewes, N Murphy, R Pascual, & M Fischer (2015) Crop rotations in the sea: increasing returns and reducing risk of collapse in sea cucumber fisheries. PNAS, 112(21), 6760-6765.",NA
Indonesia,Holothuria fuscopunctata,Sea cucumber (Elephant trunkfish),HOLOPU,NA,NA,NA,"Plaganyi EE, T Skewes, N Murphy, R Pascual, & M Fischer (2015) Crop rotations in the sea: increasing returns and reducing risk of collapse in sea cucumber fisheries. PNAS, 112(21), 6760-6765.",NA,NA,NA,NA
Indonesia,Holothuria nobilis,Sea cucumber (Black teatfish),HOLONO,NA,NA,NA,"Plaganyi EE, T Skewes, N Murphy, R Pascual, & M Fischer (2015) Crop rotations in the sea: increasing returns and reducing risk of collapse in sea cucumber fisheries. PNAS, 112(21), 6760-6765.",NA,NA,NA,NA
Indonesia,Holothuria scabra,Sea cucumber (Sandfish),HOLOSC,NA,NA,NA,"Plaganyi EE, T Skewes, N Murphy, R Pascual, & M Fischer (2015) Crop rotations in the sea: increasing returns and reducing risk of collapse in sea cucumber fisheries. PNAS, 112(21), 6760-6765.",NA,NA,"Plaganyi EE, T Skewes, N Murphy, R Pascual, & M Fischer (2015) Crop rotations in the sea: increasing returns and reducing risk of collapse in sea cucumber fisheries. PNAS, 112(21), 6760-6765.",NA
Indonesia,Thelenota ananas,Sea cucumber (Prickly redfish),THELAN,NA,NA,NA,"Plaganyi EE, T Skewes, N Murphy, R Pascual, & M Fischer (2015) Crop rotations in the sea: increasing returns and reducing risk of collapse in sea cucumber fisheries. PNAS, 112(21), 6760-6765.",NA,NA,"Plaganyi EE, T Skewes, N Murphy, R Pascual, & M Fischer (2015) Crop rotations in the sea: increasing returns and reducing risk of collapse in sea cucumber fisheries. PNAS, 112(21), 6760-6765.",NA
Brazil,Cynoscion acoupa,Acoupa weakfish,CYNOAC,"Cutrim Souza RF, L Alves de Souza, B Bentes da Silva et al. (2003) Dinamica populacional da pescada amarela Cynoscion acoupa da costa norte do Brasil.","Cutrim Souza RF, L Alves de Souza, B Bentes da Silva et al. (2003) Dinamica populacional da pescada amarela Cynoscion acoupa da costa norte do Brasil.","Cutrim Souza RF, L Alves de Souza, B Bentes da Silva et al. (2003) Dinamica populacional da pescada amarela Cynoscion acoupa da costa norte do Brasil.","Cutrim Souza RF, L Alves de Souza, B Bentes da Silva et al. (2003) Dinamica populacional da pescada amarela Cynoscion acoupa da costa norte do Brasil.","Joyeux JC, T Giarrizzo, RM Macieira, HL Spach, and T Vaske Jr (2009) Length–weight relationships for Brazilian estuarine fishes along a latitudinal gradient. Journal of Applied Ichthyology, 25: 350–355.","Joyeux JC, T Giarrizzo, RM Macieira, HL Spach, and T Vaske Jr (2009) Length–weight relationships for Brazilian estuarine fishes along a latitudinal gradient. Journal of Applied Ichthyology, 25: 350–355.","da Silva de Almeida Z (2008) Os recursos pesqueiros marinhos e estuarinos do Maranhao: biologia, tecnologia, socioeconomia, estado da arte e manejo. Thesis, Universidade Federal do Para, Brazil.",Incofish equation.
Brazil,Centropomus undecimalis,Snook,CENTUN,"Andrade H, J Santos, & R Taylor (2013) Life history traits of the common snook Centropomus undecimalis in a Caribbean estuary and large-scale biogeographic patterns relevant to management. Journal of Fish Biology.","Andrade H, J Santos, & R Taylor (2013) Life history traits of the common snook Centropomus undecimalis in a Caribbean estuary and large-scale biogeographic patterns relevant to management. Journal of Fish Biology.","Andrade H, J Santos, & R Taylor (2013) Life history traits of the common snook Centropomus undecimalis in a Caribbean estuary and large-scale biogeographic patterns relevant to management. Journal of Fish Biology.","Andrade H, J Santos, & R Taylor (2013) Life history traits of the common snook Centropomus undecimalis in a Caribbean estuary and large-scale biogeographic patterns relevant to management. Journal of Fish Biology.","Franco, T.P., C.E.O. Araújo and F.G. Araújo, 2014. Length-weight relationships for 25 fish species from three coastal lagoons in Southeastern Brazil. J. Appl. Ichthyol. 30:248-250.

","Franco, T.P., C.E.O. Araújo and F.G. Araújo, 2014. Length-weight relationships for 25 fish species from three coastal lagoons in Southeastern Brazil. J. Appl. Ichthyol. 30:248-250.

","Peters, KM, Matheson Jr., RE, Taylor, RG. 1998. Reproduction and early life-history of common snook, Centropomus undecimalis (bloch), in Florida. Bulletin of Marine Science 62(2): 509-529.","Peters, KM, Matheson Jr., RE, Taylor, RG. 1998. Reproduction and early life-history of common snook, Centropomus undecimalis (bloch), in Florida. Bulletin of Marine Science 62(2): 509-529."
