site,year,date,permanent_trip_id,gear,inside_area,fishing_ground,landing_site,species,sampled_catch,total_catch,length_cm,days,personDays,fisher_days.x,fisher_days.y,fisher_days.x.x,fisher_days.y.y,fisher_days
FF_Site1,2003,5/1/03,2003_10,Handline,Outside,Cendikian dan Gundul,Karimunjawa,Caesio cuning,NA,14.48718389,19.836,1,1,1,1,1,1,1
FF_Site1,2003,5/1/03,2003_10,Handline,Outside,Cendikian dan Gundul,Karimunjawa,Caesio cuning,NA,14.48718389,16.04,1,1,1,1,1,1,1
FF_Site1,2003,5/1/03,2003_10,Handline,Outside,Cendikian dan Gundul,Karimunjawa,Caesio cuning,NA,14.48718389,19.816,1,1,1,1,1,1,1
FF_Site1,2003,5/1/03,2003_10,Handline,Outside,Cendikian dan Gundul,Karimunjawa,Caesio cuning,NA,14.48718389,17.309,1,1,1,1,1,1,1
FF_Site1,2003,5/1/03,2003_10,Handline,Outside,Cendikian dan Gundul,Karimunjawa,Caesio cuning,NA,14.48718389,21.91,1,1,1,1,1,1,1
FF_Site1,2003,5/1/03,2003_10,Handline,Outside,Cendikian dan Gundul,Karimunjawa,Caesio cuning,NA,14.48718389,20.227,1,1,1,1,1,1,1
FF_Site1,2003,5/1/03,2003_10,Handline,Outside,Cendikian dan Gundul,Karimunjawa,Caesio cuning,NA,14.48718389,19.309,1,1,1,1,1,1,1
FF_Site1,2003,5/1/03,2003_10,Handline,Outside,Cendikian dan Gundul,Karimunjawa,Caesio cuning,NA,14.48718389,13.997,1,1,1,1,1,1,1
FF_Site1,2003,5/1/03,2003_10,Handline,Outside,Cendikian dan Gundul,Karimunjawa,Caesio cuning,NA,14.48718389,19.106,1,1,1,1,1,1,1
FF_Site1,2003,5/1/03,2003_14,Gillnet,Inside,Kumbang,Parang,Bolbometopon muricatum,NA,6.528563398,51.886,1,2,2,2,2,2,2
FF_Site1,2003,5/1/03,2003_15,Gillnet,Inside,Northern Parang,Parang,Caesio cuning,NA,13.06830564,33.162,1,2,2,2,2,2,2
FF_Site1,2003,5/1/03,2003_15,Gillnet,Inside,Northern Parang,Parang,Caesio cuning,NA,13.06830564,32.713,1,2,2,2,2,2,2
FF_Site1,2003,5/1/03,2003_15,Gillnet,Inside,Northern Parang,Parang,Caesio cuning,NA,13.06830564,32.577,1,2,2,2,2,2,2
FF_Site1,2003,5/1/03,2003_16,Trap,Inside,Gosong Selikur,Parang,Caesio cuning,NA,7.21059165,28.698,1,2,2,2,2,2,2
FF_Site1,2003,5/1/03,2003_16,Trap,Inside,Gosong Selikur,Parang,Scarus ghobban,NA,7.21059165,28.262,1,2,2,2,2,2,2
FF_Site1,2003,5/2/03,2003_17,Gillnet,Inside,Kembar,Parang,Scarus ghobban,NA,14.11691023,52.289,1,2,2,2,2,2,2
FF_Site1,2003,5/2/03,2003_17,Gillnet,Inside,Kembar,Parang,Caranx ignobilis,NA,14.11691023,61.798,1,2,2,2,2,2,2
FF_Site1,2003,5/2/03,2003_18,Trap,Inside,Gosong Selikur,Parang,Caesio cuning,NA,0.721227065,33.417,1,2,2,2,2,2,2
FF_Site1,2003,5/3/03,2003_20,Handline,Inside,Western Parang,Parang,Plectropomus areolatus,NA,7.110879687,32.164,1,1,1,1,1,1,1
FF_Site1,2003,5/3/03,2003_21,Gillnet,Inside,Western Nyamuk,Parang,Bolbometopon muricatum,NA,22.7125549,61.241,1,2,2,2,2,2,2
FF_Site1,2003,5/4/03,2003_22,Gillnet,Inside,Western Parang,Parang,Caesio cuning,NA,42.5,26.96,1,2,2,2,2,2,2
FF_Site1,2003,5/4/03,2003_22,Gillnet,Inside,Western Parang,Parang,Bolbometopon muricatum,NA,42.5,61.964,1,2,2,2,2,2,2
FF_Site1,2003,5/5/03,2003_23,Gillnet,Inside,Kembar,Parang,Caesio cuning,NA,10.70297424,34.585,1,2,2,2,2,2,2
FF_Site1,2003,5/5/03,2003_23,Gillnet,Inside,Kembar,Parang,Caesio cuning,NA,10.70297424,36.98,1,2,2,2,2,2,2
FF_Site1,2003,5/5/03,2003_23,Gillnet,Inside,Kembar,Parang,Caesio cuning,NA,10.70297424,34.847,1,2,2,2,2,2,2
FF_Site1,2003,5/5/03,2003_24,Trap,Inside,Kembar,Parang,Caesio cuning,NA,1.746858488,30.813,1,2,2,2,2,2,2
FF_Site1,2003,5/5/03,2003_24,Trap,Inside,Kembar,Parang,Caesio cuning,NA,1.746858488,30.012,1,2,2,2,2,2,2
