length
25
25
24
24
23
24
25
25
26
21
20
23
24
25
25
26
26
27
28
25
26
26
26
23
27
25
24
24
24
25
27
26
28
27
26
28
27
25
25
23
26
25
25
25
25
21
22
25
26
27
26
25
24
25
25
23
23
26
24
24
24
25
24
25
24
24
24
24
28
26
25
25
27
26
24
25
25
26
26
23
23
24
25
25
27
25
25
26
26
26
29
30
27
27
26
25
26
25
32
23
25
24
24
25
27
27
20
19
19
20
21
20
18
19
22
21
20
15
15
16
17
18
18
16
16
17
25
21
19
20
19
24
25
25
26
25
24
25
20
16
20
21
25
26
26
29
29
26
26
27
25
26
26
24
26
21
20
19
22
25
25
25
23
25
26
24
24
24
25
21
26
26
24
18
18
19
25
21
17
19
21
22
24
24
24
25
26
27
25
24
22
23
25
25
30
27
27
27
28
29
30
26
26
27
26
26
18
18
16
17
19
17
17
26
27
27
30
25
25
25
23
24
26
26
27
25
34
34
27
27
28
31
28
28
27
27
26
27
19
20
21
24
24
25
26
25
26
26
47
49
7
57
49
49
57
57
50
51
51
50
54
56
57
106
132
24
22
22
24
24
25
25
24
25
25
25
54
23
23
24
26
25
33
30
27
27
31
33
34
35
28
28
29
31
33
32
34
28
29
27
28
26
38
42
41
43
34
39
27
20
25
26
26
26
24
24
22
26
20
22
20
28
21
24
24
26
23
25
25
32
26
24
49
46
32
33
33
21
21
22
23
28
28
26
23
25
22
18
20
19
16
19
23
23
26
29
25
19
36
29
40
30
36
24
39
28
29
27
35
36
35
27
37
57
48
24
23
25
24
34
23
24
23
21
23
24
25
25
24
24
26
30
21
22
23
20
20
20
19
19
18
18
17
18
18
19
19
19
20
21
21
20
20
19
19
19
71
68
75
55
27
26
22
23
42
39
24
27
27
28
29
26
29
29
30
26
26
34
28
28
25
29
29
30
25
27
27
31
33
33
34
30
29
29
29
82
87
77
51
23
25
25
32
26
24
26
25
27
25
25
25
25
21
20
23
24
24
25
25
26
24
21
23
20
25
25
2
6
26
33
30
34
30
28
28
27
29
26
26
25
28
28
29
33
30
28
28
27
27
28
29
28
27
27
26
27
27
28
28
29
30
31
36
28
19
24
26
25
24
27
28
28
16
17
25
24
20
21
23
23
23
24
24
24
24
25
25
25
24
26
29
28
23
23
21
24
24
21
21
25
25
26
26
26
24
25
25
20
21
23
24
25
26
27
28
26
26
25
24
25
25
25
25
25
23
23
24
25
24
24
23
22
26
25
24
24
24
22
22
24
23
25
25
26
25
25
24
24
21
20
23
29
24
24
23
22
24
23
22
21
25
26
26
27
28
26
23
23
23
22
21
25
21
25
25
25
28
28
29
30
28
29
21
19
18
17
16
18
20
19
18
21
22
18
18
19
21
24
25
25
26
24
25
25
25
27
27
28
28
26
26
30
25
25
26
27
28
28
26
25
25
23
25
25
26
22
26
22
24
30
22
26
30
31
19
22
20
20
26
26
25
27
24
22
20
21
23
22
24
26
26
